Scientific Name,Common Name,Dye Strength,Typical Dye Colors (Alum/Neutral),Notes/Other Mordants (Iron/Alkaline),,
Agaricus xanthodermus,Yellow Stainer,Moderate,Bright Yellow,Grey-Yellow,,
Amanita fulva,Tawny Grisette,Weak,Beige, Light Brown,Dyer's beige,
Amanita muscaria,Fly Agaric,Weak,Beige, Gold (Skin only),Red skin pigment is not water soluble for wool,
Amanita rubescens,Blusher,Weak,Beige, Pinkish-Tan,Mainly dyer's beige,
Amanita vaginata,Grisette,Weak,Greyish-Beige,Dyer's beige,,
Bankera fuligineoalba,N/A,Moderate,Golden Brown,Beige,,
Boletopsis grisea,Gray Kurotake,Strong,Green, Grey-Green,Olive Green,
Boletus edulis,Porcini/King Bolete,Weak,Beige, Light Yellow,Better for eating than dyeing,
Chalciporus piperatus,Peppery Bolete,Strong,Red-Brown, Rust,Copper,
Chlorociboria aeruginascens,Green Elfcup,Strong (Specialized),Blue-Green (Teal),Requires solvent extraction; pigment is xylindein,,
Chlorociboria aeruginosa,Green Elfcup,Strong (Specialized),Blue-Green (Teal),Requires solvent extraction,,
Clitocybe nebularis,Clouded Agaric,Weak,Beige, Cream,Yellowish,
Clitocybe odora,Aniseed Funnel,Weak,Pale Green/Beige,Green color is scent-related not pigment,,
Coltricia perennis,Tiger's Eye,Moderate,Yellow, Gold, Brown,Rust (Alkaline)
Cortinarius armillatus,Bracelet Cort,Strong,Pinkish-Red, Rose,Best red color comes from the stem bands,
Cortinarius cinnamomeus,Cinnamon Webcap,Strong,Brown, Bronze, Cinnamon,Greenish Brown (Iron)
Cortinarius croceus,Saffron Webcap,Strong,Yellow, Gold, Orange,Olive (Iron)
Cortinarius evernius,Silky Webcap,Strong,Purple, Brown,Dark Brown,
Cortinarius limonius,Lemon Webcap,Strong,Yellow, Gold,Orange-Brown with Iron,
Cortinarius malicorius,Saffron-Colored Webcap,Strong,Orange, Red-Orange,Green (Iron),
Cortinarius orellanus,Fool's Webcap,Strong,Red-Brown, Orange,DEADLY TOXIC (Orellanine),
Cortinarius rubellus,Deadly Webcap,Strong,Red-Orange, Rust,DEADLY TOXIC (Orellanine),
Cortinarius sanguineus,Blood Red Webcap,Strong,Deep Red, Dark Pink,Dark Red (Alum),
Cortinarius semisanguineus,Surprise Webcap,Strong,Red, Orange,Deep Red (Alum),
Cortinarius smithii,Red-Capped Cort,Strong,Red, Orange, Violet,Warm Reds
Cortinarius uliginosus,Copper-Red Webcap,Strong,Yellow, Orange,Brighter Orange with Alkaline,
Dermocybe phoenicea,N/A,Strong,Red, Purple,Dark Red,
Fomes fomentarius,Tinder Conk,Moderate,Yellowish-Beige, Gold,Greenish-Brown (Iron),
Fomitopsis betulina,Birch Polypore,Weak,Beige, Yellowish-Tan,Grey-Brown with Iron,
Fomitopsis pinicola,Red-Belted Conk,Moderate,Yellow, Beige,Orange-Brown,
Ganoderma applanatum,Artist's Conk,Moderate,Rust, Brown,Dark Brown,
Ganoderma lucidum,Reishi,Moderate,Rust, Red-Brown,"Requires long boiling; distinct from ""weak"" beiges",
Gymnopilus junonius (spectabilis),Big Laughing Gym,Strong,Yellow, Gold,Orange-Brown,
Gymnopilus ventricosus,Western Jumbo Gym,Strong,Butter Yellow, Gold,Brownish-Yellow,
Hapalopilus nidulans (rutilans),Purple Dye Polypore,Strong,Purple, Violet (requires Ammonia),Browns (if pH is neutral),
Hydnellum aurantiacum,Orange Hydnellum,Strong,Grey, Greenish-Grey,Dark Green (Iron),
Hydnellum caeruleum,Blue-Tooth Fungus,Strong,Blue, Teal, Grey,Dark Green (Iron)
Hydnellum concrescens,Zoned Tooth,Moderate,Brown, Beige,Dark Brown with Iron,
Hydnellum ferrugineum,Rusty Tooth,Moderate,Beige, Light Brown,Does not yield blue like H. caeruleum,
Hydnellum peckii,Bleeding Tooth Fungus,Strong,Beige, Light Brown,Blue-Green / Teal (Iron/Alkaline),
Hydnellum scrobiculatum,Ridged Tooth,Moderate,Brown, Beige,Standard brown dyer,
